Date,PM1,PM2,PM10,NO2,CO,CO2,Humidity,Temp
27-05-2017,37.00,71.00,77.00,0.04,30.27,2.23,32.63,61.25
28-05-2017,40.00,76.00,89.00,0.04,31.67,2.23,32.72,61.06
29-05-2017,37.00,82.00,97.00,0.04,30.62,2.14,32.81,60.44
30-05-2017,40.00,80.00,93.00,0.04,30.27,2.05,32.91,60.25
31-05-2017,39.00,79.00,91.00,0.04,31.31,2.05,32.91,60.06
01-06-2017,37.00,84.00,104.00,0.04,31.67,1.97,32.97,60.06
02-06-2017,44.00,98.00,106.00,0.05,30.27,2.05,33,59.75.00
03-06-2017,43.00,89.00,101.00,0.05,31.84,2.05,33.06,59.69
04-06-2017,50.00,90.00,100.00,0.05,29.93,2.05,33.09,59.63
05-06-2017,41.00,89.00,108.00,0.05,31.49,1.97,33.13,60.00
